symbol,industry
COMSYN,Packaging
CONCOR,Logistics Solution Provider
CONCORDBIO,Pharmaceuticals
CONFIPET,LPG/CNG/PNG/LNG Supplier
CONNPLEX,Unknown
CONS,Unknown
CONSOFINVT,Non Banking Financial Company (NBFC)
CONSUMBEES,ETF
CONSUMER,ETF
CONSUMIETF,ETF
CONTI,Unknown
CONTROLPR,Computers Hardware & Equipments
COOLCAPS,Unknown
CORALFINAC,Diversified Commercial Services
CORDSCABLE,Cables - Electricals
COROMANDEL,Fertilizers
CORONA,Unknown
COSMOFIRST,Packaging
COUNCODOS,"Residential, Commercial Projects"
CPCAP,Non Banking Financial Company (NBFC)
CPEDU,Unknown
CPPLUS,Industrial Products
CPS,Unknown
CPSEETF,ETF
CRAFTSMAN,Auto Components & Equipments
CRAMC,Unknown
CREATIVEYE,Media & Entertainment
CREDITACC,Microfinance Institutions
CREST,Non Banking Financial Company (NBFC)
CRISIL,Other Financial Services
CRIZAC,Internet & Catalogue Retail
CROMPTON,Household Appliances
CROWN,Industrial Products
CSBBANK,Private Sector Bank
CSLFINANCE,Non Banking Financial Company (NBFC)
CSSL,Unknown
CTE,Computers - Software & Consulting
CUB,Private Sector Bank
CUBEINVIT,Unknown
CUBEXTUB,"Aluminium, Copper & Zinc Products"
CUDML,Unknown
CUMMINSIND,"Compressors, Pumps & Diesel Engines"
CUPID,Personal Care
CURAA,Computers - Software & Consulting
CURIS,Unknown
CYBERMEDIA,Electronic Media
CYBERTECH,Computers - Software & Consulting
CYIENT,IT Enabled Services
CYIENTDLM,Industrial Products
DABUR,Personal Care
DALBHARAT,Cement & Cement Products
DALMIASUG,Sugar
DAMCAPITAL,Stockbroking & Allied
DAMODARIND,Other Textile Products
DANGEE,Packaged Foods
DANISH,Unknown
DATAMATICS,IT Enabled Services
DATAPATTNS,Aerospace & Defense
DAVANGERE,Diversified FMCG
DBCORP,Print Media
DBEIL,Civil Construction
DBL,Civil Construction
DBOL,Sugar
DBREALTY,Hotels & Resorts
DBSTOCKBRO,Stockbroking & Allied
DCAL,Pharmaceuticals
DCBBANK,Private Sector Bank
DCG,Unknown
DCI,Computers Hardware & Equipments
DCM,IT Enabled Services
DCMFINSERV,Investment Company
DCMNVL,Other Textile Products
DCMSHRIRAM,Diversified
DCMSRIND,Sugar
DCW,Petrochemicals
DCXINDIA,Aerospace & Defense
DDEVPLSTIK,Specialty Chemicals
DECCANCE,Cement & Cement Products
DECCANTRAN,Unknown
DEEDEV,Industrial Products
DEEM,Unknown
DEEPAKFERT,Commodity Chemicals
DEEPAKNTR,Specialty Chemicals
DEEPINDS,Oil Equipment & Services
DELAPLEX,Unknown
DELHIVERY,Logistics Solution Provider
DELPHIFX,Other Financial Services
DELTACORP,Amusement Parks/ Other Recreation
DELTAMAGNT,Other Industrial Products
DELTIC,Unknown
DEN,TV Broadcasting & Software Production
DENEERS,Unknown
DENORA,Electrodes & Refractories
DENTA,Water Supply & Management
DENTALKART,Unknown
DEVIT,IT Enabled Services
DEVX,Unknown
DEVYANI,Restaurants
DGCONTENT,Advertising & Media Agencies
DHAMPURSUG,Sugar
DHANBANK,Private Sector Bank
DHANLAXMI,Unknown
DHANUKA,Pesticides & Agrochemicals
DHARIWAL,Unknown
DHARMAJ,Pesticides & Agrochemicals
DHRUV,Consulting Services
DHTL,Unknown
DHUNINV,Non Banking Financial Company (NBFC)
DIACABS,Other Electrical Equipment
DIAMINESQ,Specialty Chemicals
DIAMONDYD,Packaged Foods
DICIND,Printing Inks
DIFFNKG,Other Industrial Products
DIGIDRIVE,E-Retail/ E-Commerce
DIGIKORE,Unknown
DIGISPICE,IT Enabled Services
DIGITIDE,IT Enabled Services
DIGJAMLMTD,Other Textile Products
DIL,Hotels & Resorts
DISHTV,TV Broadcasting & Software Production
DIVGIITTS,Auto Components & Equipments
DIVINEHIRA,Unknown
DIVISLAB,Pharmaceuticals
DIVOPPBEES,ETF
DIVYADHAN,Unknown
DIXON,Consumer Electronics
DJML,Logistics Solution Provider
DKEGL,Unknown
DLF,"Residential, Commercial Projects"
DLINKINDIA,Computers Hardware & Equipments
DMART,Diversified Retail
DMCC,Specialty Chemicals
DNAMEDIA,Electronic Media
DODLA,Dairy Products
DOLATALGO,Stockbroking & Allied
DOLLAR,Garments & Apparels
DOLLEX,Unknown
DOLPHIN,Offshore Support Solution Drilling
