symbol,industry
NIDAN,Unknown
NIF100BEES,ETF
NIF100IETF,ETF
NIF10GETF,ETF
NIF5GETF,ETF
NIFITETF,ETF
NIFMID150,ETF
NIFTY1,ETF
NIFTY100EW,ETF
NIFTYADD,Unknown
NIFTYBEES,ETF
NIFTYBETF,ETF
NIFTYCASE,Unknown
NIFTYETF,ETF
NIFTYIETF,ETF
NIFTYQLITY,ETF
NIITLTD,Education
NIITMTS,Education
NIKITA,Unknown
NILAINFRA,"Residential, Commercial Projects"
NILASPACES,"Residential, Commercial Projects"
NILKAMAL,Plastic Products - Consumer
NINSYS,Computers - Software & Consulting
NIPPOBATRY,Household Products
NIRAJ,Civil Construction
NIRAJISPAT,Plastic Products - Consumer
NIRMAN,Unknown
NITCO,Ceramics
NITINSPIN,Other Textile Products
NITIRAJ,Consumer Electronics
NIVABUPA,General Insurance
NKIND,Edible Oil
NLCINDIA,Power Generation
NMDC,Industrial Minerals
NOCIL,Specialty Chemicals
NOIDATOLL,"Road AssetsToll, Annuity, Hybrid-Annuity"
NORBTEAEXP,Unknown
NORTHARC,Non Banking Financial Company (NBFC)
NOVAAGRI,Fertilizers
NPBET,ETF
NPST,IT Enabled Services
NRAIL,Paper & Paper Products
NRBBEARING,Auto Components & Equipments
NRL,Trading - Metals
NRVANDANA,Unknown
NSIL,Investment Company
NSLNISP,Iron & Steel
NTPC,Power Generation
NTPCGREEN,Power Generation
NUCLEUS,Software Products
NURECA,Medical Equipment & Supplies
NUVAMA,Stockbroking & Allied
NUVOCO,Cement & Cement Products
NV20,ETF
NV20BEES,ETF
NV20IETF,ETF
NXST,Unknown
NYKAA,E-Retail/ E-Commerce
OAL,Specialty Chemicals
OBCL,Logistics Solution Provider
OBEROIRLTY,"Residential, Commercial Projects"
OBSCP,Unknown
OCCLLTD,Commodity Chemicals
ODIGMA,IT Enabled Services
OFSS,Software Products
OIL,Oil Exploration & Production
OILCOUNTUB,Oil Equipment & Services
OILIETF,ETF
OLAELEC,2/3 Wheelers
OLECTRA,Passenger Cars & Utility Vehicles
OLIL,Unknown
OMAXAUTO,Auto Components & Equipments
OMAXE,"Residential, Commercial Projects"
OMFREIGHT,Unknown
OMINFRAL,Civil Construction
ONDOOR,Unknown
ONELIFECAP,Stockbroking & Allied
ONEPOINT,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
ONESOURCE,Pharmaceuticals
ONGC,Oil Exploration & Production
ONMOBILE,Web based media and service
ONWARDTEC,IT Enabled Services
ONYX,Unknown
OPTIEMUS,Telecom -  Equipment & Accessories
OPTIVALUE,Unknown
ORBTEXP,Other Textile Products
ORCHASP,Computers - Software & Consulting
ORCHPHARMA,Pharmaceuticals
ORIANA,Unknown
ORICONENT,Packaging
ORIENTALTL,Granites & Marbles
ORIENTBELL,Ceramics
ORIENTCEM,Cement & Cement Products
ORIENTCER,Electrodes & Refractories
ORIENTELEC,Household Appliances
ORIENTHOT,Hotels & Resorts
ORIENTLTD,Packaging
ORIENTPPR,Paper & Paper Products
ORIENTTECH,IT Enabled Services
ORISSAMINE,Industrial Minerals
ORKLAINDIA,Unknown
ORTINGLOBE,Pharmaceuticals
OSELDEVICE,Unknown
OSIAHYPER,Diversified Retail
OSWALAGRO,Trading & Distributors
OSWALGREEN,Investment Company
OSWALPUMPS,"Compressors, Pumps & Diesel Engines"
OSWALSEEDS,Other Agricultural Products
OWAIS,Unknown
PACEDIGITK,Unknown
PAGEIND,Garments & Apparels
PAISALO,Non Banking Financial Company (NBFC)
PAKKA,Paper & Paper Products
PALASHSECU,Packaged Foods
PALREDTEC,IT Enabled Services
PANACEABIO,Pharmaceuticals
PANACHE,Unknown
PANAMAPET,Lubricants
PANSARI,"Residential, Commercial Projects"
PAR,Pharmaceuticals
PARACABLES,Cables - Electricals
PARADEEP,Fertilizers
PARAGMILK,Dairy Products
PARAGON,Unknown
PARAMOUNT,Unknown
PARAS,Aerospace & Defense
PARASPETRO,Investment Company
PARIN,Unknown
PARKHOTELS,Hotels & Resorts
PARSVNATH,"Residential, Commercial Projects"
PARTH,Unknown
PARTYCRUS,Unknown
PASHUPATI,Other Textile Products
PASUPTAC,Petrochemicals
PATANJALI,Edible Oil
PATELEG-RE,Unknown
PATELENG,Civil Construction
PATELRMART,Unknown
PATILAUTOM,Unknown
PATINTLOG,Logistics Solution Provider
PAUSHAKLTD,Unknown
PAVNAIND,Auto Components & Equipments
PAYTM,Financial Technology (Fintech)
PCBL,Carbon Black
PCCL,Unknown
PCJEWELLER,"Gems, Jewellery And Watches"
PDMJEPAPER,Paper & Paper Products
PDSL,Trading - Textile Products
PEARLPOLY,Plastic Products - Consumer
PELATRO,Unknown
PENIND,Industrial Products
PENINLAND,"Residential, Commercial Projects"
PERSISTENT,Computers - Software & Consulting
PETRONET,LPG/CNG/PNG/LNG Supplier
PFC,Financial Institution
PFIZER,Pharmaceuticals
PFOCUS,Media & Entertainment
PFS,Non Banking Financial Company (NBFC)
PGEL,Consumer Electronics
PGHH,Personal Care
PGHL,Pharmaceuticals
PGIL,Garments & Apparels
PGINVIT,Unknown
PHANTOMFX,Unknown
PHARMABEES,ETF
PHOENIXLTD,"Residential, Commercial Projects"
PHOGLOBAL,Unknown
PICCADIL,Breweries & Distilleries
PIDILITIND,Specialty Chemicals
PIGL,Unknown
PIIND,Pesticides & Agrochemicals
PILANIINVS,Holding Company
PILITA,Plastic Products - Consumer
PINELABS,Unknown
PIONEEREMB,Other Textile Products
PIRAMALFIN,Unknown
PITTIENG,Industrial Products
PIXTRANS,Rubber
PKTEA,Tea & Coffee
PLASTIBLEN,Specialty Chemicals
PLATIND,Specialty Chemicals
PLAZACABLE,Cables - Electricals
PNB,Public Sector Bank
PNBGILTS,Investment Company
PNBHOUSING,Housing Finance Company
PNC,"Film Production, Distribution & Exhibition"
PNCINFRA,Civil Construction
PNGJL,"Gems, Jewellery And Watches"
POCL,Diversified Metals
PODDARMENT,Dyes And Pigments
POKARNA,Granites & Marbles
POLICYBZR,Financial Technology (Fintech)
POLYCAB,Cables - Electricals
POLYMED,Medical Equipment & Supplies
POLYPLEX,Packaging
POLYSIL,Unknown
PONNIERODE,Sugar
POONAWALLA,Non Banking Financial Company (NBFC)
POSITRON,Unknown
POWERGRID,Power - Transmission
POWERINDIA,Heavy Electrical Equipment
POWERMECH,Civil Construction
PPAP,Auto Components & Equipments
PPL,Plastic Products - Industrial
PPLPHARMA,Pharmaceuticals
PPSL,Unknown
PRABHA,Oil Exploration & Production
PRAENG,"Residential, Commercial Projects"
PRAJIND,Industrial Products
PRAKASH,Iron & Steel
PRAKASHSTL,Iron & Steel Products
PRAMARA,Unknown
PRANIK,Unknown
PRATHAM,Unknown
PRAXIS,Speciality Retail
PRECAM,Auto Components & Equipments
PRECISION,Unknown
PRECOT,Other Textile Products
PRECWIRE,"Aluminium, Copper & Zinc Products"
PREMEXPLN,Explosives
PREMIER,Unknown
PREMIERENE,Other Electrical Equipment
PREMIERPOL,Plastic Products - Industrial
PREMIUM,Unknown
PRESSTONIC,Unknown
PRESTIGE,"Residential, Commercial Projects"
PRICOLLTD,Auto Components & Equipments
PRIMECAB,Unknown
PRIMESECU,Other Financial Services
PRIMO,Commodity Chemicals
PRINCEPIPE,Plastic Products - Industrial
PRITI,"Furniture, Home Furnishing"
PRITIKA,Unknown
PRITIKAUTO,Auto Components & Equipments
PRIVISCL,Specialty Chemicals
PRIZOR,Unknown
PRLIND,Unknown
PROFX,Unknown
PROLIFE,Unknown
PROPEQUITY,Unknown
PROSTARM,Other Electrical Equipment
PROTEAN,IT Enabled Services
PROV,Unknown
PROZONER,"Residential, Commercial Projects"
PRSMJOHNSN,Cement & Cement Products
PRUDENT,Financial Products Distributor
PRUDMOULI,Sugar
PSB,Public Sector Bank
PSFL,Unknown
PSPPROJECT,Civil Construction
PSRAJ,Unknown
PSUBANK,ETF
PSUBANKADD,ETF
PSUBNKBEES,ETF
PSUBNKIETF,ETF
PTC,Power Trading
PTCIL,Other Industrial Products
PTL,Diversified Commercial Services
PULZ,Unknown
PUNJABCHEM,Pesticides & Agrochemicals
PURPLEUTED,Unknown
PURVA,"Residential, Commercial Projects"
PURVFLEXI,Unknown
PUSHPA,Unknown
PVP,"Residential, Commercial Projects"
PVRINOX,"Film Production, Distribution & Exhibition"
PVSL,Auto Dealer
PVTBANIETF,ETF
PVTBANKADD,ETF
PWL,Unknown
PYRAMID,Packaging
QGOLDHALF,ETF
QNIFTY,Unknown
QPOWER,Heavy Electrical Equipment
QUADFUTURE,Cables - Electricals
QUADPRO,Unknown
QUAL30IETF,ETF
QUALITY30,ETF
QUESS,Diversified Commercial Services
QUESTLAB,Unknown
QUICKHEAL,Software Products
QUICKTOUCH,Unknown
QUINTEGRA,Unknown
QVCEL,Unknown
RACE,Waste Management
RACLGEAR,Auto Components & Equipments
RADAAN,Media & Entertainment
RADHIKAJWE,"Gems, Jewellery And Watches"
RADIANTCMS,Diversified Commercial Services
RADICO,Breweries & Distilleries
RADIOCITY,Media & Entertainment
RADIOWALLA,Unknown
RAILTEL,Other Telecom Services
RAIN,Petrochemicals
RAINBOW,Hospital
RAJESHEXPO,"Gems, Jewellery And Watches"
RAJINDLTD,Unknown
RAJMET,"Aluminium, Copper & Zinc Products"
RAJOOENG,Industrial Products
RAJPUTANA,Unknown
RAJRATAN,Auto Components & Equipments
RAJRILTD,Unknown
RAJSREESUG,Sugar
RAJTV,TV Broadcasting & Software Production
RALLIS,Pesticides & Agrochemicals
RAMANEWS,Paper & Paper Products
RAMAPHO,Fertilizers
RAMASTEEL,Iron & Steel Products
RAMCOCEM,Cement & Cement Products
RAMCOIND,Other Construction Materials
RAMCOSYS,Software Products
RAMKY,Civil Construction
RAMRAT,Other Electrical Equipment
RANASUG,Sugar
RANEHOLDIN,Holding Company
RAPIDFLEET,Unknown
RAPPID,Unknown
RATEGAIN,Computers - Software & Consulting
RATNAMANI,Iron & Steel Products
RATNAVEER,Iron & Steel Products
RAYMOND,"Residential, Commercial Projects"
RAYMONDLSL,Other Textile Products
RAYMONDREL,"Residential, Commercial Projects"
RBA,Restaurants
RBLBANK,Private Sector Bank
RBMINFRA,Unknown
RBS,Unknown
RBZJEWEL,"Gems, Jewellery And Watches"
RCDL,Unknown
RCF,Fertilizers
RCOM,Unknown
READYMIX,Unknown
RECLTD,Financial Institution
REDINGTON,Trading & Distributors
REDTAPE,Footwear
REFEX,Industrial Gases
REFRACTORY,Unknown
REGAAL,Unknown
REGENCERAM,Ceramics
RELAXO,Footwear
RELCHEMQ,Other Textile Products
RELIABLE,Other Financial Services
RELIANCE,Refineries & Marketing
RELIGARE,Investment Company
RELINFRA,Integrated Power Utilities
RELTD,Other Electrical Equipment
REMSONSIND,Auto Components & Equipments
REMUS,Unknown
RENUKA,Sugar
REPCOHOME,Housing Finance Company
REPL,Civil Construction
REPRO,Printing & Publication
RESPONIND,"Furniture, Home Furnishing"
RETAIL,Diversified Retail
REXPIPES,Unknown
REXPRO,Unknown
RGL,"Gems, Jewellery And Watches"
RHETAN,Unknown
RHIM,Electrodes & Refractories
RHL,Hotels & Resorts
RICHA,Unknown
RICOAUTO,Auto Components & Equipments
RIIL,Logistics Solution Provider
RILINFRA,Unknown
RISHABH,Other Electrical Equipment
RITCO,Logistics Solution Provider
RITES,Civil Construction
RKDL,Breweries & Distilleries
RKEC,Civil Construction
RKFORGE,Auto Components & Equipments
RKSWAMY,Advertising & Media Agencies
RMDRIP,Plastic Products - Industrial
RML,Auto Components & Equipments
RNBDENIMS,Unknown
RNFI,Unknown
RNPL,Unknown
ROCKINGDCE,Unknown
ROHLTD,Hotels & Resorts
ROLEXRINGS,Auto Components & Equipments
ROLLT,Packaging
ROML,Edible Oil
ROSSARI,Specialty Chemicals
ROSSELLIND,Tea & Coffee
ROSSTECH,Aerospace & Defense
ROTO,"Compressors, Pumps & Diesel Engines"
ROUTE,Other Telecom Services
ROXHITECH,Unknown
RPEL,Electrodes & Refractories
RPGLIFE,Pharmaceuticals
RPOWER,Power Generation
RPPINFRA,Civil Construction
RPPL,Packaging
RPSGVENT,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
RPTECH,Computers Hardware & Equipments
RRKABEL,Cables - Electricals
RSSOFTWARE,Unknown
RSWM,Other Textile Products
RSYSTEMS,IT Enabled Services
RTNINDIA,E-Retail/ E-Commerce
RTNPOWER,Power Generation
RUBFILA,Rubber
RUBICON,Unknown
RUBYMILLS,Other Textile Products
RUCHINFRA,Diversified Commercial Services
RUCHIRA,Paper & Paper Products
RULKA,Unknown
RUPA,Garments & Apparels
RUSHIL,Plywood Boards/ Laminates
RUSTOMJEE,"Residential, Commercial Projects"
RVHL,"Residential, Commercial Projects"
RVNL,Civil Construction
RVTH,Industrial Products
S&SPOWER,Unknown
SAAKSHI,Unknown
SAATVIKGL,Unknown
SABEVENTS,Unknown
SABTNL,TV Broadcasting & Software Production
SACHEEROME,Unknown
SADBHAV,Civil Construction
SADBHIN,Civil Construction
SADHAV,Unknown
SADHNANIQ,Commodity Chemicals
SAFARI,Plastic Products - Consumer
SAFEENTP,Unknown
SAGARDEEP,"Aluminium, Copper & Zinc Products"
SAGCEM,Cement & Cement Products
SAGILITY,IT Enabled Services
SAHAJSOLAR,Unknown
SAHANA,Unknown
SAHASRA,Unknown
SAHYADRI,Other Construction Materials
SAIFL,Unknown
SAIL,Iron & Steel
SAILIFE,Pharmaceuticals
SAJHOTELS,Unknown
SAKAR,Pharmaceuticals
SAKHTISUG,Sugar
SAKSOFT,Computers - Software & Consulting
SAKUMA,Trading & Distributors
SALASAR,Industrial Products
SALONA,Other Textile Products
SALSTEEL,Sponge Iron
SALZERELEC,Other Electrical Equipment
SAMAY,Unknown
SAMBHAAV,Electronic Media
SAMBHV,Iron & Steel Products
SAMHI,Hotels & Resorts
SAMMAANCAP,Housing Finance Company
SAMPANN,Rubber
SANATHAN,Other Textile Products
SANDESH,Print Media
SANDHAR,Auto Components & Equipments
SANDUMA,Coal
SANGAMIND,Other Textile Products
SANGANI,Unknown
SANGHIIND,Cement & Cement Products
SANGHVIMOV,Diversified Commercial Services
SANGINITA,Specialty Chemicals
SANOFI,Pharmaceuticals
SANOFICONR,Pharmaceuticals
SANSERA,Auto Components & Equipments
SANSTAR,Other Agricultural Products
SAPPHIRE,Restaurants
SARDAEN,Iron & Steel
SAREGAMA,Media & Entertainment
SARLAPOLY,Other Textile Products
SAROJA,Unknown
SARTELE,Unknown
SARVESHWAR,Other Agricultural Products
SASKEN,IT Enabled Services
SASTASUNDR,Healthcare Service Provider
SATECH,Unknown
SATIA,Paper & Paper Products
SATIN,Unknown
SATIPOLY,Unknown
SATKARTAR,Unknown
SATTVAENGG,Unknown
SAURASHCEM,Cement & Cement Products
SAVY,Unknown
SAWALIYA,Unknown
SBC,Garments & Apparels
SBCL,Iron & Steel Products
SBFC,Non Banking Financial Company (NBFC)
SBGLP,"Residential, Commercial Projects"
SBIBPB,ETF
SBICARD,Non Banking Financial Company (NBFC)
SBIETFCON,ETF
SBIETFIT,ETF
SBIETFPB,ETF
SBIETFQLTY,ETF
SBILIFE,Life Insurance
SBILIQETF,Unknown
SBIN,Public Sector Bank
SBINEQWETF,ETF
SBISILVER,ETF
SCHAEFFLER,Auto Components & Equipments
SCHAND,Printing & Publication
SCHNEIDER,Heavy Electrical Equipment
SCI,Shipping
SCILAL,Investment Company
SCODATUBES,Iron & Steel Products
SCPL,Dairy Products
SDBL,Breweries & Distilleries
SDL26BEES,ETF
SDREAMS,Unknown
SEAMECLTD,Shipping
SECL,Unknown
SECMARK,Computers - Software & Consulting
SECURKLOUD,IT Enabled Services
SEJALLTD,Glass - Industrial
SEL,Unknown
SELECTIPO,ETF
SELMC,Other Textile Products
SEMAC,Civil Construction
SENCO,"Gems, Jewellery And Watches"
SENORES,Pharmaceuticals
SENSEXADD,ETF
SENSEXETF,ETF
SENSEXIETF,ETF
SEPC,Civil Construction
SEQUENT,Pharmaceuticals
SERVOTECH,Other Electrical Equipment
SESHAPAPER,Paper & Paper Products
SETCO,Auto Components & Equipments
SETF10GILT,ETF
SETFGOLD,ETF
SETFNIF50,ETF
SETFNIFBK,ETF
SETFNN50,ETF
SEYAIND,Unknown
SFL,"Furniture, Home Furnishing"
SGFIN,Non Banking Financial Company (NBFC)
SGIL,Castings & Forgings
SGL,Other Textile Products
SGLTL,Industrial Products
SGMART,Unknown
SHAH,Iron & Steel Products
SHAHALLOYS,Iron & Steel Products
SHAILY,Plastic Products - Industrial
SHAKTIPUMP,"Compressors, Pumps & Diesel Engines"
SHALBY,Hospital
SHALPAINTS,Paints
SHANKARA,Speciality Retail
SHANTI,Edible Oil
SHANTIGEAR,Industrial Products
SHANTIGOLD,"Gems, Jewellery And Watches"
SHARDACROP,Pesticides & Agrochemicals
SHARDAMOTR,Auto Components & Equipments
SHAREINDIA,Stockbroking & Allied
SHARIABEES,ETF
SHEEL,Unknown
SHEETAL,Unknown
SHEKHAWATI,Unknown
SHEMAROO,Media & Entertainment
SHERA,Unknown
SHETHJI,Unknown
SHILCTECH,Unknown
SHILPAMED,Pharmaceuticals
SHIVALIK,Pesticides & Agrochemicals
SHIVAMAUTO,Auto Components & Equipments
SHIVAMILLS,Other Textile Products
SHIVASHRIT,Unknown
SHIVATEX,Other Textile Products
SHK,Specialty Chemicals
SHKSIL,Unknown
SHOPERSTOP,Diversified Retail
SHRADHA,"Residential, Commercial Projects"
SHREDIGCEM,Cement & Cement Products
SHREECEM,Cement & Cement Products
SHREEJISPG,Unknown
SHREEKARNI,Unknown
SHREEOSFM,Unknown
SHREEPUSHK,Dyes And Pigments
SHREERAMA,Packaging
SHREMINVIT,Unknown
SHRENIK,Paper & Paper Products
SHREYANIND,Paper & Paper Products
SHRIAHIMSA,Unknown
SHRIKANHA,Unknown
SHRINGARMS,Unknown
SHRIPISTON,Auto Components & Equipments
SHRIRAMFIN,Non Banking Financial Company (NBFC)
SHRIRAMPPS,"Residential, Commercial Projects"
SHUBHLAXMI,Unknown
SHUBHSHREE,Unknown
SHYAMCENT,Ferro & Silica Manganese
SHYAMMETL,Iron & Steel Products
SHYAMTEL,Trading & Distributors
SICALLOG,Unknown
SIDDHICOTS,Unknown
SIDDHIKA,Unknown
SIEMENS,Heavy Electrical Equipment
SIGACHI,Pharmaceuticals
SIGIND,Trading & Distributors
SIGMA,IT Enabled Services
SIGNATURE,"Residential, Commercial Projects"
SIGNPOST,Advertising & Media Agencies
SIKKO,Pesticides & Agrochemicals
SIL,Real Estate related services
SILGO,"Gems, Jewellery And Watches"
SILINV,Investment Company
SILKY,Unknown
SILLYMONKS,Media & Entertainment
SILVER,ETF
SILVER1,ETF
SILVER360,ETF
SILVERADD,ETF
SILVERAG,Unknown
SILVERBEES,ETF
SILVERBND,Unknown
SILVERCASE,ETF
SILVERETF,ETF
SILVERIETF,ETF
SILVERTUC,Computers - Software & Consulting
SIMPLEXINF,Civil Construction
SINCLAIR,Hotels & Resorts
SINDHUTRAD,Logistics Solution Provider
SINTERCOM,Auto Components & Equipments
SIRCA,Paints
SIS,Other Consumer Services
SIYSIL,Other Textile Products
SJLOGISTIC,Unknown
SJS,Auto Components & Equipments
SJVN,Power Generation
SKFINDIA,Abrasives & Bearings
SKFINDUS,Unknown
SKIPPER,Heavy Electrical Equipment
SKMEGGPROD,Meat Products including Poultry
SKP,Unknown
SKYGOLD,"Gems, Jewellery And Watches"
SMALL250,Unknown
SMALLCAP,Unknown
SMARTEN,Unknown
SMARTLINK,Computers Hardware & Equipments
SMARTWORKS,Diversified Commercial Services
SMCGLOBAL,Stockbroking & Allied
SML100CASE,Unknown
SMLMAH,Unknown
SMLT,Iron & Steel Products
SMSPHARMA,Pharmaceuticals
SMVD,Unknown
SNOWMAN,Logistics Solution Provider
SNXT30BEES,ETF
SOBHA,"Residential, Commercial Projects"
SOFTTECH,Computers - Software & Consulting
SOLARA,Pharmaceuticals
SOLARINDS,Explosives
SOLARWORLD,Unknown
SOLEX,Unknown
SOMANYCERA,Ceramics
SOMATEX,Other Textile Products
SOMICONVEY,Industrial Products
SONACOMS,Auto Components & Equipments
SONAMAC,Unknown
SONAMLTD,Consumer Electronics
SONATSOFTW,Computers - Software & Consulting
SONUINFRA,Unknown
SOTL,Lubricants
SOUTHBANK,Private Sector Bank
SOUTHWEST,Diversified Commercial Services
SPAL,Garments & Apparels
SPANDANA,Microfinance Institutions
SPARC,Pharmaceuticals
SPCENET,Trading & Distributors
SPCL,Unknown
SPEB,Unknown
SPECIALITY,Restaurants
SPECTRUM,Industrial Products
SPECTSTM,Unknown
SPENCERS,Diversified Retail
SPIC,Fertilizers
SPLIL,Trading - Textile Products
SPLPETRO,Petrochemicals
SPMLINFRA,Civil Construction
SPORTKING,Other Textile Products
SPPPOLY,Unknown
SPUNWEB,Unknown
SRD,Trading - Chemicals
SREEL,Footwear
SRF,Commodity Chemicals
SRGHFL,Housing Finance Company
SRHHYPOLTD,Commodity Chemicals
SRIVASAVI,Unknown
SRM,Civil Construction
SSDL,Garments & Apparels
SSEGL,Unknown
SSFL,Unknown
SSWL,Auto Components & Equipments
STALLION,Industrial Gases
STANLEY,"Furniture, Home Furnishing"
STAR,Pharmaceuticals
STARCEMENT,Cement & Cement Products
STARHEALTH,General Insurance
STARPAPER,Paper & Paper Products
STARTECK,Non Banking Financial Company (NBFC)
STCINDIA,Trading & Distributors
STEELCAS,Castings & Forgings
STEELCITY,Stockbroking & Allied
STEELXIND,Iron & Steel Products
STEL,Investment Company
STERTOOLS,Auto Components & Equipments
STLNETWORK,Unknown
STLTECH,Telecom -  Equipment & Accessories
STOVEKRAFT,Household Appliances
STUDDS,Unknown
STUDIOLSD,Unknown
STYL,Unknown
STYLAMIND,Plywood Boards/ Laminates
STYLEBAAZA,Speciality Retail
STYRENIX,Specialty Chemicals
SUBAHOTELS,Unknown
SUBEXLTD,Software Products
SUBROS,Other Industrial Products
SUDARSCHEM,Dyes And Pigments
SUDEEPPHRM,Unknown
SUKHJITS,Other Agricultural Products
SULA,Breweries & Distilleries
SUMEETINDS,Other Textile Products
SUMICHEM,Pesticides & Agrochemicals
SUMIT,"Residential, Commercial Projects"
SUMMITSEC,Investment Company
SUNCLAY,Auto Components & Equipments
SUNDARAM,Stationary
SUNDARMFIN,Non Banking Financial Company (NBFC)
SUNDRMBRAK,Auto Components & Equipments
SUNDRMFAST,Auto Components & Equipments
SUNDROP,Edible Oil
SUNFLAG,Iron & Steel Products
SUNLITE,Unknown
SUNPHARMA,Pharmaceuticals
SUNTECH,Unknown
SUNTECK,"Residential, Commercial Projects"
SUNTV,TV Broadcasting & Software Production
SUPERHOUSE,Leather And Leather Products
SUPERSPIN,Other Textile Products
SUPRAJIT,Auto Components & Equipments
SUPREME,"Residential, Commercial Projects"
SUPREMEIND,Plastic Products - Industrial
SUPREMEPWR,Unknown
SUPRIYA,Pharmaceuticals
SURAJEST,"Residential, Commercial Projects"
SURAJLTD,Iron & Steel Products
SURAKSHA,Healthcare Service Provider
SURANASOL,Heavy Electrical Equipment
SURANAT&P,Unknown
SURANI,Unknown
SURYALAXMI,Other Textile Products
SURYAROSNI,Iron & Steel Products
SURYODAY,Other Bank
SUTLEJTEX,Other Textile Products
SUVEN,"Healthcare Research, Analytics & Technology"
SUVIDHAA,Financial Technology (Fintech)
SUYOG,Telecom - Infrastructure
SUZLON,Heavy Electrical Equipment
SVLL,Logistics Solution Provider
SVPGLOB,Other Textile Products
SWANCORP,Unknown
SWANDEF,Unknown
SWARAJ,Unknown
SWARAJENG,"Compressors, Pumps & Diesel Engines"
SWASTIK,Unknown
SWELECTES,Heavy Electrical Equipment
SWIGGY,E-Retail/ E-Commerce
SWSOLAR,Civil Construction
SYLVANPLY,Unknown
SYMPHONY,Household Appliances
SYNCOMF,Pharmaceuticals
SYNGENE,"Healthcare Research, Analytics & Technology"
SYRMA,Industrial Products
SYSTANGO,Unknown
SYSTMTXC,Unknown
TAC,Unknown
TAINWALCHM,Plastic Products - Industrial
TAJGVK,Hotels & Resorts
TAKE,"Healthcare Research, Analytics & Technology"
TALBROAUTO,Auto Components & Equipments
TANKUP,Unknown
TANLA,Software Products
TARACHAND,Diversified Commercial Services
TARAPUR,Unknown
TARC,"Residential, Commercial Projects"
TARIL,Heavy Electrical Equipment
TARMAT,Civil Construction
TARSONS,Medical Equipment & Supplies
TASTYBITE,Packaged Foods
TATACAP,Unknown
TATACHEM,Commodity Chemicals
TATACOMM,Telecom - Cellular & Fixed line services
TATACONSUM,Tea & Coffee
TATAELXSI,Computers - Software & Consulting
TATAGOLD,ETF
TATAINVEST,Investment Company
TATAPOWER,Integrated Power Utilities
TATASTEEL,Iron & Steel
TATATECH,IT Enabled Services
TATSILV,ETF
TATVA,Specialty Chemicals
TAURIAN,Unknown
TBI,Unknown
TBOTEK,"Tour, Travel Related Services"
TBZ,"Gems, Jewellery And Watches"
TCI,Logistics Solution Provider
TCIEXP,Logistics Solution Provider
TCIFINANCE,Non Banking Financial Company (NBFC)
TCL,Unknown
TCPLPACK,Packaging
TCS,Computers - Software & Consulting
TDPOWERSYS,Heavy Electrical Equipment
TEAMGTY,Unknown
TEAMLEASE,Diversified Commercial Services
TECH,Unknown
TECHD,Unknown
TECHERA,Unknown
TECHLABS,Unknown
TECHM,Computers - Software & Consulting
TECHNOE,Civil Construction
TECILCHEM,Commodity Chemicals
TEGA,Industrial Products
TEJASCARGO,Unknown
TEJASNET,Telecom -  Equipment & Accessories
TEMBO,Unknown
TENNIND,Unknown
TERASOFT,IT Enabled Services
TEXINFRA,Diversified Commercial Services
TEXMOPIPES,Plastic Products - Industrial
TEXRAIL,Industrial Products
TFCILTD,Financial Institution
TFL,Non Banking Financial Company (NBFC)
TGBHOTELS,Hotels & Resorts
TGL,Unknown
THANGAMAYL,"Gems, Jewellery And Watches"
THEINVEST,Other Financial Services
THEJO,Industrial Products
THELEELA,Hotels & Resorts
THEMISMED,Pharmaceuticals
THERMAX,Heavy Electrical Equipment
THOMASCOOK,"Tour, Travel Related Services"
THOMASCOTT,Garments & Apparels
THYROCARE,Healthcare Service Provider
TI,Breweries & Distilleries
TICL,Civil Construction
TIGERLOGS,Unknown
TIIL,Iron & Steel Products
TIINDIA,Auto Components & Equipments
TIJARIA,Plastic Products - Industrial
TIL,Construction Vehicles
TIMESCAN,Unknown
TIMETECHNO,Plastic Products - Industrial
TIMKEN,Abrasives & Bearings
TINNARUBR,Rubber
TIPSFILMS,"Film Production, Distribution & Exhibition"
TIPSMUSIC,Media & Entertainment
TIRUMALCHM,Commodity Chemicals
TIRUPATIFL,Unknown
TITAGARH,Railway Wagons
TITAN,"Gems, Jewellery And Watches"
TMB,Private Sector Bank
TMCV,Unknown
TMPV,Unknown
TNIDETF,ETF
TNPETRO,Petrochemicals
TNPL,Paper & Paper Products
TNTELE,Telecom -  Equipment & Accessories
TOKYOPLAST,Plastic Products - Consumer
TOLINS,Tyres & Rubber Products
TOP100CASE,ETF
TOP10ADD,ETF
TOP15IETF,ETF
TORNTPHARM,Pharmaceuticals
TORNTPOWER,Integrated Power Utilities
TOTAL,Logistics Solution Provider
TOUCHWOOD,Other Consumer Services
TPHQ,Civil Construction
TPLPLASTEH,Packaging
TRACXN,Data Processing Services
TRANSRAILL,Heavy Electrical Equipment
TRANSTEEL,Unknown
TRANSWIND,Unknown
TRANSWORLD,Shipping
TRAVELFOOD,Restaurants
TREEHOUSE,Education
TREJHARA,Computers - Software & Consulting
TREL,Logistics Solution Provider
TRENT,Speciality Retail
TRF,Industrial Products
TRIDENT,Other Textile Products
TRIGYN,Computers - Software & Consulting
TRITURBINE,Heavy Electrical Equipment
TRIVENI,Sugar
TROM,Unknown
TRU,Unknown
TRUALT,Unknown
